従業員ID,氏名,部署,入社日,基本給,年齢,性別,扶養家族数
E001,小林 健一,営業部,2017-12-01,382764,58,女性,4
E002,三浦 拓真,開発部,2023-03-13,262122,60,女性,4
E003,石井 健一,人事部,2022-01-25,289476,28,女性,1
E004,小川 和也,営業部,2019-06-13,341703,37,女性,2
E005,岡田 太郎,営業部,2018-09-25,331002,43,女性,0
E006,小林 英樹,開発部,2022-07-30,277380,37,男性,2
E007,木村 陽一,営業部,2023-09-11,261820,22,男性,3
E008,松本 零,経理部,2015-09-05,393719,32,女性,3
E009,後藤 くみ子,総務部,2017-09-25,359819,56,女性,0
E010,佐藤 明美,人事部,2023-03-14,291423,36,男性,3
E011,中島 亮介,営業部,2023-06-09,264830,40,男性,2
E012,小林 翼,営業部,2018-02-27,352113,26,女性,1
E013,山崎 里佳,開発部,2020-03-24,329606,26,男性,2
E014,吉田 七夏,人事部,2018-10-12,358930,52,男性,3
E015,阿部 舞,開発部,2019-06-08,362836,60,女性,1
E016,中島 直樹,営業部,2018-01-19,338509,43,男性,1
E017,中島 零,人事部,2020-01-12,331822,56,女性,2
E018,小林 治,開発部,2022-10-11,279490,28,男性,3
E019,鈴木 涼平,人事部,2020-04-11,342471,53,男性,0
E020,清水 浩,営業部,2018-04-29,358647,49,男性,2
E021,森 裕美子,人事部,2022-04-02,318386,52,男性,0
E022,田中 明美,開発部,2022-11-24,261686,32,女性,0
E023,中島 零,営業部,2024-06-08,276035,41,女性,3
E024,松本 健一,総務部,2022-03-25,307053,27,女性,1
E025,岡本 真綾,経理部,2018-03-15,359315,45,男性,3
E026,山本 洋介,総務部,2015-07-30,367924,50,女性,2
E027,加藤 春香,総務部,2023-03-14,274827,58,男性,1
E028,鈴木 英樹,営業部,2022-03-16,324298,27,女性,4
E029,清水 治,人事部,2022-09-21,287131,36,男性,3
E030,高橋 花子,経理部,2019-05-29,354247,56,女性,4
E031,吉田 京助,経理部,2016-09-02,365443,41,男性,3
E032,山田 花子,営業部,2021-01-27,336812,54,男性,0
E033,吉田 美加子,経理部,2019-11-14,354623,33,男性,1
E034,佐藤 裕樹,開発部,2015-12-09,377630,24,女性,0
E035,高橋 聡太郎,経理部,2021-12-27,319769,34,男性,4
E036,藤原 康弘,総務部,2023-06-08,276900,26,男性,3
E037,佐々木 洋介,経理部,2019-03-05,356461,57,女性,2
E038,山本 舞,経理部,2023-01-04,294058,22,女性,0
E039,田中 太一,開発部,2018-02-19,362160,31,男性,0
E040,後藤 桃子,営業部,2020-05-31,341876,40,女性,3
E041,福田 健一,経理部,2015-12-19,382310,53,女性,0
E042,山崎 裕太,総務部,2024-05-19,256285,47,男性,4
E043,藤田 聡太郎,経理部,2022-05-26,314888,24,女性,2
E044,山崎 千代,開発部,2020-10-12,335253,25,女性,2
E045,斉藤 篤司,営業部,2023-11-12,269408,43,女性,2
E046,吉田 美加子,経理部,2017-05-09,368372,28,男性,1
E047,長谷川 加奈,経理部,2023-10-10,264692,42,女性,3
E048,岡田 学,営業部,2021-11-12,314647,34,女性,1
E049,中村 直人,経理部,2022-02-14,301684,55,女性,0
E050,山口 健一,開発部,2022-09-14,293768,26,女性,4
E051,山崎 翔太,開発部,2022-10-24,286436,55,男性,1
E052,伊藤 あすか,開発部,2018-08-23,332632,25,男性,0
E053,石井 幹,営業部,2021-07-21,319913,45,男性,2
E054,山本 康弘,経理部,2019-08-24,329140,54,女性,0
E055,渡辺 充,営業部,2020-05-30,349641,37,女性,3
E056,伊藤 美加子,経理部,2018-10-29,358931,33,女性,4
E057,鈴木 さゆり,総務部,2022-05-12,311132,44,男性,2
E058,山口 和也,営業部,2015-09-11,414083,40,男性,3
E059,後藤 健一,開発部,2022-02-07,278253,58,男性,1
E060,山田 智也,開発部,2023-07-02,302426,35,女性,3
E061,小林 美加子,営業部,2024-04-19,278638,22,女性,1
E062,佐々木 陽子,開発部,2022-03-31,317426,60,男性,1
E063,藤田 直人,人事部,2016-04-27,381540,41,女性,3
E064,山田 里佳,総務部,2020-09-02,314672,51,女性,1
E065,岡田 美加子,総務部,2020-04-19,335585,55,女性,4
E066,田中 京助,営業部,2019-07-24,326705,54,女性,4
E067,岡田 智也,人事部,2017-08-11,377424,60,女性,2
E068,山下 知実,営業部,2021-02-26,334853,52,男性,2
E069,吉田 裕樹,総務部,2023-11-06,263119,39,女性,2
E070,橋本 春香,開発部,2022-02-01,287344,55,男性,0
E071,池田 舞,経理部,2022-12-30,299323,42,男性,0
E072,木村 香織,経理部,2023-07-07,302952,40,女性,3
E073,鈴木 あすか,経理部,2023-08-02,271515,24,男性,2
E074,佐藤 知実,開発部,2022-08-22,307615,56,女性,2
E075,阿部 美加子,総務部,2018-02-03,368247,32,男性,2
E076,山下 和也,経理部,2015-12-21,371396,30,女性,4
E077,山口 舞,開発部,2020-10-27,339998,43,男性,1
E078,渡辺 直人,開発部,2020-05-02,328283,41,女性,2
E079,木村 あすか,総務部,2023-04-14,284358,59,女性,3
E080,木村 聡太郎,経理部,2018-05-26,342718,25,男性,3
E081,遠藤 直子,人事部,2016-09-03,362749,29,女性,4
E082,木村 太郎,経理部,2018-06-06,354553,25,男性,1
E083,阿部 裕太,総務部,2017-01-14,363126,48,女性,1
E084,鈴木 知実,開発部,2022-11-15,280734,27,女性,2
E085,林 康弘,開発部,2018-08-04,361355,42,男性,0
E086,田中 花子,総務部,2020-03-14,334625,35,男性,4
E087,佐藤 太郎,経理部,2016-05-05,375383,27,男性,4
E088,井上 亮介,経理部,2021-09-14,303423,47,女性,3
E089,佐藤 健一,営業部,2017-03-11,375121,24,男性,2
E090,井上 美加子,総務部,2017-02-09,350922,55,男性,0
