株式会社ABC商事,,,,,,,,
営業部売上実績報告書,,,,,,,,
,,,,,,,,
作成者：田中太郎,,,,,,,,
作成日：2024/12/15,,,,,,,,
※このデータは社外秘です！！,,,,,,,,
,,,,,,,,
,,,,,,,,
No.,営業担当者,顧客名,商品,単価（円）,数量,売上金額,受注日,備考
1,佐藤,A商事,パソコン,"¥80,000",3台,240000,2024/1/15,急ぎ
2,田中　太郎,B工業㈱,プリンター,45000,2,"90,000円",2024/01/20,
,,,,,,,,
3,鈴木,C産業,モニター,"¥25,000",５,125000,2024/2/1,
＊小計,,,,,10,"455,000",,
4,高橋,D電機,キーボード,3000,10個,30000,2024/02/05,
5,渡辺,E商店,マウス,"¥2,500",20,"50,000",2024/2/10,まとめ買い割引適用
6,伊藤,F会社,パソコン,80000,1台,80000,2024年2月15日,
7,山田,G株式会社,プリンター,"¥45,000",3,"135,000円",2024/02/20,
,,,,,,,,
8,中村,H産業,モニター,25000円,4,"¥100,000",2024/3/1,
9,小林,I商事,キーボード,"3,000",15台,45000,2024/03/05,
10,加藤,J電子,マウス,"¥2,500",30,"75,000",24/3/10,
,,,,,,,,
合計金額：,,,,,,"¥980,000",,
,,,,,,,,
※このデータには不備がある可能性があります,,,,,,,,
※要データクレンジング,,,,,,,,
